asset_id,task,class,priority,size,vendor,stage,due,cost_usd,approved_by
ART-0279,Salve apply VFX: a smear stroke texture and a glint sparkle on completion,VFX,P1,S,in-house (procedural),done,,0,
ART-0280,"Suture completion VFX: a thread-tighten glint and a small gilt ""sealed"" flash",VFX,P1,S,in-house (procedural),done,,0,
ART-0281,Tongs pickup and drop VFX: a flesh-pull stretch decal and a clink spark on the kidney dish,VFX,P1,S,in-house (procedural),done,,0,
ART-0282,"Curse motes: 4 violet mote sprites with trailing wisps, a spawn burst and a Brand-kill pop",VFX,P0,M,in-house (procedural),done,,0,
ART-0283,Curse-hit feedback: a violet crackle along new lacerations when the Malison attacks,VFX,P0,S,in-house (procedural),done,,0,
ART-0284,Sigil sear VFX: gold embers rising from each seared stroke,VFX,P1,S,in-house (procedural),done,,0,
ART-0285,Malison phase-change VFX: a thread-snap shockwave ring and screen-edge violet ink bleed,VFX,P1,S,in-house (procedural),done,,0,
ART-0286,"Litany activation: a gilt five-pointed star that burns in along the traced path, then expands into the sepia ripple (art timing matched to the u_litany curve)",VFX,P0,M,in-house (procedural),done,,0,
ART-0287,"Litany active overlay: slow drifting dust motes frozen in air, and marginalia glyphs at the screen edge that fade as the 8 s run out",VFX,P0,S,in-house (procedural),done,,0,
ART-0288,Litany end: the star fractures and falls as gold leaf (12 frames),VFX,P1,S,in-house (procedural),done,,0,
ART-0289,Failed-gesture feedback: a smudged ink stroke that fizzles,VFX,P1,S,in-house (procedural),done,,0,
ART-0290,"COOL rating burst: gilt stamp with a halo of leaf flakes; GOOD, BAD and MISS each with their own lighter treatment",VFX,P0,S,in-house (procedural),done,,0,
ART-0291,"Low-vitals VFX art: a cracked-glass overlay on the vitals gauge and blood-vessel creep at the screen edges, in sync with the red pulse",VFX,P1,S,in-house (procedural),done,,0,
ART-0292,Operation success and failure transitions: a woodcut page-turn wipe (success) and an ink-flood to a Holbein skeleton (failure),VFX,P1,S,TBD,not started,,,
ART-0293,Combo milestone VFX at ×5 and ×10 (a ribbon unfurl with gilt edges),VFX,P2,S,in-house (procedural),done,,0,
ART-0294,"VFX spec template (sprite, frames, fps, blend mode, lifetime, max concurrent) filled for every Demo effect in docs/art/vfx/",VFX,P0,S,in-house (procedural),done,,0,
ART-0295,"Reduced-flashing variants for the Lauds dawn-flare, the Litany burst and low-vitals pulse (accessibility toggle) — peak luminance change under 3 flashes/s",VFX,P1,S,in-house (procedural),done,,0,
ART-0297,"Animation timing sheet: standard fps (12 for woodcut flipbooks, 24 for VFX), ease curves and hit-pause frames, applied to every flipbook in the demo",Animation,P0,S,in-house (procedural),done,,0,
ART-0298,Tissue breathing and heartbeat deformation: a mesh-warp map per flesh set synced to u_pulse (no visible sliding of ailment sprites),Animation,P1,M,TBD,done,,0,
ART-0299,"Embedded-object reaction animation: the arrow shaft twitches with the heartbeat (3-frame), and the grub flinches on a Lancet near-miss",Animation,P1,S,TBD,done,,0,
ART-0301,"Blink timing (random 2–6 s interval, 3 frames) and lip-flap timing tied to text reveal speed for all demo portraits",Animation,P0,S,in-house (procedural),done,,0,
ART-0302,"Idle breathing (a 2-layer mesh warp) on Kreuzer, Ilse, Haller, Stroh and Mauer portraits",Animation,P1,M,in-house (procedural),done,,0,
ART-0303,Hollow Choir mask animation: a slow tilt and a violet glow breathing from the mask's mouth,Animation,P2,M,TBD,done,,0,
ART-0305,"Title screen animated layers: candle flicker, drifting ash and a slow key-art parallax (10 s loop)",Animation,P1,M,TBD,done,,0,
ART-0306,"Menu transitions: a page-turn (8 frames) between menu pages and a wax-seal break on ""New Game""",Animation,P2,S,TBD,done,,0,
ART-0307,Animated logo sting (3 s) for the game's boot sequence,Animation,P2,S,TBD,not started,,,
ART-0308,"Game logo ""Suture & Steel"": a blackletter wordmark with a crossed lancet and suture-needle ampersand; subtitle ""The Malison Hours"" in IM Fell SC — vector master (SVG) plus a trademark-search note","Title, key art & logo",P0,M,TBD,not started,,,
ART-0309,"Logo variants: full-colour, one-colour (black and parchment), on-dark, a stacked version and an icon-only ampersand mark","Title, key art & logo",P0,S,TBD,not started,,,
ART-0310,Studio/publisher boot splash layout using the logo kit,"Title, key art & logo",P1,S,TBD,not started,,,
ART-0311,"Application icon set: Windows .ico (16–256), macOS .icns and Linux PNGs (512), from the ampersand mark","Title, key art & logo",P1,S,in-house (procedural),done,,0,
ART-0312,"Key art: Kreuzer over a Wound-Man patient, with Ilse at his side, Stroh in shadow and the Malison eye above — 6000×3375 master, layered so it can be recomposed","Title, key art & logo",P0,L,TBD,not started,,,
ART-0313,"Key-art crop map documenting safe areas for every store size (capsules, hero, library, social)","Title, key art & logo",P0,S,TBD,done,,0,
ART-0314,Title-screen composition derived from the key art with room for menu items (in-engine at 1920×1080),"Title, key art & logo",P1,M,TBD,not started,,,
ART-0316,Header capsule 920×430 and small capsule 462×174: logo legible at thumbnail size (tested at 50% downscale),Steam capsule & store art,P0,M,TBD,not started,,,
ART-0317,Main capsule 1232×706 and vertical capsule 748×896,Steam capsule & store art,P0,S,TBD,not started,,,
ART-0318,"Library capsule 600×900, library hero 3840×1240 (logo-free) and library logo PNG with transparent background",Steam capsule & store art,P0,S,TBD,not started,,,
ART-0319,Page background 1438×810 (darkened key art) and a community icon 184×184,Steam capsule & store art,P0,S,TBD,not started,,,
ART-0320,"Demo-specific capsule variants with a ""FREE DEMO"" banner that is compliant with Steam's text rules",Steam capsule & store art,P0,S,TBD,not started,,,
ART-0321,"Steam capsule compliance check: no review quotes, award laurels or discount text on base capsules — checklist signed before upload",Steam capsule & store art,P0,S,TBD,not started,,,
ART-0322,Next Fest event capsule and a festival page banner,Steam capsule & store art,P1,S,TBD,not started,,,
ART-0323,"10 store screenshots at 1920×1080 captured in-engine from final demo art (3 ops, 2 bosses, 3 VN, the tool tray, results), with the HUD and no debug overlay",Steam capsule & store art,P0,M,TBD,not started,,,
ART-0324,"5 animated GIF/WebM clips (≤ 3 MB each) for the store description: arrow extraction, Litany, Matins eye, Lauds thread sever and the rank seal",Steam capsule & store art,P1,S,TBD,not started,,,
ART-0325,"Store description section-header banners (616 px wide) in the woodcut style: ""Operate"", ""The Malison"", ""Kessendorf""",Steam capsule & store art,P1,S,TBD,not started,,,
ART-0328,"Social media kit: avatar, X/Bluesky banner (1500×500), YouTube banner, a Discord server icon and banner",Steam capsule & store art,P1,M,TBD,not started,,,
ART-0329,"Press kit art folder: logo pack, key art, 10 screenshots and character renders on transparent backgrounds",Steam capsule & store art,P1,S,TBD,not started,,,
ART-0330,"6 ""Wound Man"" woodcut promo illustrations (one per demo ailment family) for social posts",Steam capsule & store art,P2,M,TBD,not started,,,
ART-0332,"Announce trailer (60–75 s) beat sheet: hook (the barbed arrow), the world (Kessendorf), the tools, the Malison, the Litany, the title card and the wishlist call-to-action",Trailer storyboards,P0,M,TBD,done,,0,
ART-0333,"Announce trailer storyboard: ≥ 30 panels with shot duration, camera move and the in-engine capture setup per panel",Trailer storyboards,P0,M,TBD,not started,,,
ART-0334,Trailer capture scene list: debug seeds and states needed to reproduce each shot deterministically (with ENG's replay tool),Trailer storyboards,P1,S,TBD,done,,0,
ART-0335,"Trailer title cards and end slate (logo, ""Free Demo on Steam"", platforms, rating placeholder) in the woodcut style",Trailer storyboards,P1,S,TBD,done,,0,
ART-0336,"Steam store autoplay cut (30 s) storyboard, readable with sound off (burned-in woodcut captions)",Trailer storyboards,P1,S,TBD,done,,0,
ART-0337,"Next Fest livestream overlay art: a frame, lower-thirds and a ""Wishlist"" bug",Trailer storyboards,P2,S,TBD,not started,,,
ART-0342,"Outsourcing brief pack: art bible, style frames, naming/export specs, a sample finished asset per class and the IP-avoidance checklist — one zip per asset class",Outsourcing pipeline,P0,M,TBD,not started,,,
ART-0343,"Paid test task for 3 candidate vendors/freelancers (1 portrait with 3 expressions + 1 ailment sprite set), scored on a rubric (style match, turnaround, revisions needed)",Outsourcing pipeline,P0,M,TBD,not started,,,
ART-0344,"Contract terms checklist: work-for-hire/full IP assignment, no AI-generated content without disclosure, source files delivered, credit line",Outsourcing pipeline,P0,S,in-house (procedural),done,,0,
ART-0345,"Asset tracker sheet (asset ID, vendor, stage, due, cost, approved-by) covering every Demo asset in this file",Outsourcing pipeline,P1,S,TBD,done,,0,
ART-0346,"Feedback protocol: paintover-based notes, max 2 revision rounds per stage, 48 h review SLA from our side",Outsourcing pipeline,P1,S,TBD,done,,0,
ART-0347,Shared delivery folder with automated naming/format validation (the CI script from ART-C run on upload),Outsourcing pipeline,P1,S,TBD,not started,,,
ART-0350,"Demo art budget and schedule: cost and weeks per asset class (portraits, backgrounds, flesh sets, ailments, bosses, UI, store) with a 15% contingency",Outsourcing pipeline,P0,M,TBD,done,,0,
ART-0352,"Credits list for all art contributors maintained in docs/art/credits.md, feeding the in-game credits",Outsourcing pipeline,P1,S,TBD,not started,,,
ART-0353,"Art QA checklist per asset class (resolution, naming, alpha edges, palette, IP check, readability, scale) — every Demo asset gets a ticked checklist",Art QA,P0,S,TBD,not started,,,
ART-0354,"Automated asset lint in CI: dimensions match the spec, power-of-two for textures, no non-premultiplied alpha, file size within budget, no orphaned manifest entries",Art QA,P0,M,TBD,not started,,,
ART-0355,"Screenshot-diff regression suite: 20 canonical scenes (each backdrop, the op HUD, each demo boss phase) rendered headless and diffed against approved goldens",Art QA,P0,M,TBD,not started,,,
ART-0356,"Resolution pass: every demo screen checked at 1280×720, 1920×1080, 2560×1440, 3840×2160, 1280×800 (Steam Deck) and ultrawide 3440×1440 letterboxed — no blurry upscales, no cropped UI",Art QA,P0,S,TBD,not started,,,
ART-0357,"Colour-blind pass (protanopia, deuteranopia, tritanopia simulation) on the ratings, vitals, sigils vs. veins and the curse-violet vs. blood contrast — fixes filed",Art QA,P1,S,TBD,not started,,,
ART-0358,Readability pass of every ailment on every flesh set it can appear on in the demo (a matrix screenshot),Art QA,P1,S,TBD,not started,,,
ART-0359,"Gore-level review against the rating target, with the flagged assets listed and resolved before the ratings submission",Art QA,P1,S,TBD,not started,,,
ART-0360,Localisation art pass: no baked-in text in any image except the logo; stamps and seals with text use a runtime text layer,Art QA,P1,S,in-house (procedural),done,,0,
ART-0361,Placeholder sweep: the build report shows 0 placeholder assets in Chapters 1–2 (from the manifest tags),Art QA,P1,S,in-house (procedural),done,,0,
ART-0362,Z-order and overlap audit: ailment sprites never draw under blood pools unless intended; HUD never overlaps a Malison weak point at 16:10,Art QA,P2,S,TBD,not started,,,
ART-0365,"Texture-memory budget: ≤ 256 MB GPU texture memory in any scene on the min-spec (integrated GPU), documented per scene type",Performance budgets for art,P0,S,TBD,not started,,,
ART-0366,"Atlas budget: ≤ 6 2048² atlas pages resident in an operation (UI, tools, ailments, VFX, boss, portraits-callout)",Performance budgets for art,P0,S,TBD,not started,,,
ART-0367,"Flesh texture budget: 1 organ set resident at a time at 1024² (KTX2/BasisU, ~5.3 MB with mips), with a 512² fallback for low settings",Performance budgets for art,P0,S,TBD,not started,,,
ART-0368,"Draw-budget rule for art: an operation frame ≤ 3 texture binds and ≤ 20k batched verts at peak VFX, measured with the ENG profiler overlay",Performance budgets for art,P0,S,TBD,not started,,,
ART-0369,"Overdraw budget: additive VFX ≤ 4× overdraw on the hot area at peak (Litany + motes + sparks), verified on the Steam Deck",Performance budgets for art,P0,S,TBD,not started,,,
ART-0370,Download-size budget: demo art ≤ 400 MB on disk; the build report lists the 20 largest assets,Performance budgets for art,P1,S,TBD,done,,0,
ART-0371,"Backgrounds: ≤ 4 layers × 1920×1080 WebP resident per story scene, with the next scene's background preloaded",Performance budgets for art,P1,S,TBD,not started,,,
ART-0372,"Portrait budget: ≤ 4 portraits resident (2048² atlas page each, expressions packed together)",Performance budgets for art,P1,S,TBD,not started,,,
ART-0373,"Particle caps per effect (blood 64, sparks 48, motes 32, leaf 40) set in the VFX specs and enforced in code",Performance budgets for art,P1,S,in-house (procedural),done,,0,
ART-0374,"Low/Medium/High art quality tiers: texture resolution, particle density, parallax layers and animated background FX per tier, reviewed on the Steam Deck (target 60 fps at Medium)",Performance budgets for art,P1,M,TBD,not started,,,
